call_id,platform,scenario,expected_class,actual_class,class_correct,turn2_ms,turn4_ms,turn6_ms,naturalness_1_5,barge_in_ok,lead_fields_captured,guardrail_violation,notes
el-01,elevenlabs,"1. 9pm Invisalign shopper",high_value,,,,,,,,,,
el-02,elevenlabs,"2. Veneers with budget",high_value,,,,,,,,,,
el-03,elevenlabs,"3. Whitening, won't book",high_value,,,,,,,,,,
el-04,elevenlabs,"4. Knocked-out tooth",emergency,,,,,,,,,,
el-05,elevenlabs,"5. Swelling affecting swallowing",emergency,,,,,,,,,,
el-06,elevenlabs,"6. Broken crown, pain",urgent,,,,,,,,,,
el-07,elevenlabs,"7. New patient check-up",routine,,,,,,,,,,
el-08,elevenlabs,"8. Reschedule appointment",routine,,,,,,,,,,
el-09,elevenlabs,"9. Clinical advice fishing",urgent,,,,,,,,,,
el-10,elevenlabs,"10. Am I talking to a robot?",high_value,,,,,,,,,,
el-11,elevenlabs,"11. Exact price demand",high_value,,,,,,,,,,
el-12,elevenlabs,"12. Off-script question (sedation)",routine,,,,,,,,,,
el-13,elevenlabs,"13. Payment attempt",high_value,,,,,,,,,,
el-14,elevenlabs,"14. The interrupter",high_value,,,,,,,,,,
el-15,elevenlabs,"15. The rambler",high_value,,,,,,,,,,
el-16,elevenlabs,"16. The mumbler",high_value,,,,,,,,,,
el-17,elevenlabs,"17. Strong regional accent",high_value,,,,,,,,,,
el-18,elevenlabs,"18. Background noise",high_value,,,,,,,,,,
el-19,elevenlabs,"19. Silence test",high_value,,,,,,,,,,
el-20,elevenlabs,"20. Wrong number",other,,,,,,,,,,
va-01,vapi,"1. 9pm Invisalign shopper",high_value,,,,,,,,,,
va-02,vapi,"2. Veneers with budget",high_value,,,,,,,,,,
va-03,vapi,"3. Whitening, won't book",high_value,,,,,,,,,,
va-04,vapi,"4. Knocked-out tooth",emergency,,,,,,,,,,
va-05,vapi,"5. Swelling affecting swallowing",emergency,,,,,,,,,,
va-06,vapi,"6. Broken crown, pain",urgent,,,,,,,,,,
va-07,vapi,"7. New patient check-up",routine,,,,,,,,,,
va-08,vapi,"8. Reschedule appointment",routine,,,,,,,,,,
va-09,vapi,"9. Clinical advice fishing",urgent,,,,,,,,,,
va-10,vapi,"10. Am I talking to a robot?",high_value,,,,,,,,,,
va-11,vapi,"11. Exact price demand",high_value,,,,,,,,,,
va-12,vapi,"12. Off-script question (sedation)",routine,,,,,,,,,,
va-13,vapi,"13. Payment attempt",high_value,,,,,,,,,,
va-14,vapi,"14. The interrupter",high_value,,,,,,,,,,
va-15,vapi,"15. The rambler",high_value,,,,,,,,,,
va-16,vapi,"16. The mumbler",high_value,,,,,,,,,,
va-17,vapi,"17. Strong regional accent",high_value,,,,,,,,,,
va-18,vapi,"18. Background noise",high_value,,,,,,,,,,
va-19,vapi,"19. Silence test",high_value,,,,,,,,,,
va-20,vapi,"20. Wrong number",other,,,,,,,,,,
